time,a,e,radius1,radius2,m1,m2,stype1,stype2,eventString,dm1,dm2,stype_pair
3.373735167823004,1282.340676495259,0.0,1.6741318302104369,72.94951587477645,25.321707630961352,68.39396344731279,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.379505222551004,1290.464264123934,0.0,1.665580986824887,73.49981503214117,25.04455737116465,68.15861096314181,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.385831272139004,1299.334676687566,0.0,1.656352791693628,74.11743158761,24.74567012610701,67.90365584034583,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.392191308007004,1308.214191915635,0.0,1.647227325161527,74.753795777534,24.450349866977504,67.65052842337573,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.398586543497004,1317.1032234839654,0.0,1.638202799821546,75.40967102920202,24.15855402462613,67.39918617234999,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.4050181981870042,1326.002162637715,0.0,1.6292772712856438,76.08586153842897,23.870240537951137,67.14958850651047,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.410946922586004,1334.1685428684152,0.0,1.6211806833837121,76.72427230537886,23.60897682458962,66.92229013753104,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.4174518170480037,1343.0874854440299,0.0,1.6124387386210117,77.44180887319854,23.32722211286382,66.67592966972381,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.423996733094003,1352.0173528638782,0.0,1.6037888959533964,78.18226446821589,23.048829923670436,66.43120598301338,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.4305829245700035,1360.9584524765323,0.0,1.5952282443768686,78.9466300316231,22.773760128018473,66.18808554233095,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.4372116565070034,1369.9143283844462,0.0,1.5867535199299796,79.66173693790084,22.501973075681992,65.94637216177495,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.443326455298003,1378.1701976557836,0.0,1.5790573829131247,79.71222256163836,22.255685274940106,65.72435761727887,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.4500403041750025,1387.3043279710098,0.0,1.5707367116600484,78.22293955819765,21.990081041608583,65.47787371011847,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.4568004560400025,1396.6918298713636,0.0,1.5624899420355045,74.30645333499066,21.727646587471046,65.22113284907385,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.463608228925003,1406.5119311106237,0.0,1.5543119044245495,67.45628051959854,21.4683440837813,64.94566649098856,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.470302417728003,1414.3619635060218,0.0,1.5463879558340625,58.16083730501104,21.218156161380616,64.76329493475097,7,1,HeMS + MS,0.0,0.0,"(7, 1)"
3.470303417728003,1414.3626442675102,0.0,1.5463867818020214,56.15352842833254,21.218119166736948,64.76329144304725,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.470319911179185,1414.374168988777,0.0,1.5463674146786073,57.2142800655625,21.217508999098513,64.7632286315118,7,2,HeMS + HG,0.0,0.0,
3.4703364046303666,1414.3856937100436,0.0,1.5463480475551932,58.27503170279246,21.216898831460078,64.76316581997634,7,2,HeMS + HG,0.0,0.0,
3.470352898081549,1414.3972184313106,0.0,1.5463286804317793,59.33578334002242,21.216288663821647,64.7631030084409,7,2,HeMS + HG,0.0,0.0,
3.4703693915327305,1414.4087431525772,0.0,1.5463093133083654,60.39653497725237,21.215678496183216,64.76304019690545,7,2,HeMS + HG,0.0,0.0,
3.470385884983912,1414.420267873844,0.0,1.5462899461849513,61.457286614482335,21.21506832854478,64.76297738537,7,2,HeMS + HG,0.0,0.0,
3.4704023784350944,1414.431792595111,0.0,1.5462705790615374,62.5180382517123,21.214458160906347,64.76291457383454,7,2,HeMS + HG,0.0,0.0,
3.4704188718862756,1414.4433173163777,0.0,1.5462512119381233,63.578789888942254,21.213847993267912,64.76285176229909,7,2,HeMS + HG,0.0,0.0,
3.470435365337458,1414.4548420376445,0.0,1.5462318448147094,64.63954152617221,21.21323782562948,64.76278895076364,7,2,HeMS + HG,0.0,0.0,
3.47045185878864,1414.4663667589111,0.0,1.5462124776912953,65.70029316340218,21.212627657991046,64.76272613922818,7,2,HeMS + HG,0.0,0.0,
3.470468352239821,1414.477891480178,0.0,1.5461931105678814,66.76104480063213,21.21201749035261,64.76266332769274,7,2,HeMS + HG,0.0,0.0,
3.4704848456910034,1414.4894162014448,0.0,1.5461737434444673,67.82179643786209,21.21140732271418,64.76260051615728,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.4705721575010036,1414.6335489726835,0.0,1.546071266979503,74.2723534209095,21.208178905946767,64.75875756779726,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.4706639549930034,1414.7804317439668,0.0,1.545963544778707,81.71710036618943,21.204785458930516,64.75491427226683,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.470755534328003,1414.9223241474472,0.0,1.5458560990348018,89.88780663756296,21.201400947921048,64.75127651334988,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.470847123430003,1415.3036213533726,0.0,1.5457486621982286,98.87656617646869,21.198016945220857,64.73753814804988,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.470938709524003,1415.6849046683897,0.0,1.5456412492409144,108.76438845077546,21.19463392277157,64.72380023394987,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.471030293239003,1416.0661751573155,0.0,1.5455338594046886,119.64129458158537,21.191251857037862,64.71006267669988,7,2,HeMS + HG,0.0,0.0,"(7, 2)"
3.471046944170003,1416.1354931055,0.0,1.5455143402838873,121.92555142373541,21.19063719698712,64.70756503704987,7,2,HeMS + HG,0.0,0.0,
3.471063595101003,1416.2048110536848,0.0,1.5454948211630861,124.20980826588546,21.190022536936375,64.70506739739987,7,2,HeMS + HG,0.0,0.0,
3.471080246032003,1416.2741290018694,0.0,1.5454753020422853,126.49406510803551,21.189407876885635,64.70256975774988,7,2,HeMS + HG,0.0,0.0,
3.4710968969630027,1416.3434469500544,0.0,1.5454557829214841,128.77832195018556,21.188793216834892,64.70007211809988,7,2,HeMS + HG,0.0,0.0,
3.471113547894003,1416.412764898239,0.0,1.545436263800683,131.06257879233561,21.18817855678415,64.69757447844987,7,2,HeMS + HG,0.0,0.0,
3.471130198825003,1416.4820828464237,0.0,1.545416744679882,133.34683563448567,21.18756389673341,64.69507683879988,7,2,HeMS + HG,0.0,0.0,
3.4711468497560034,1416.5514007946083,0.0,1.5453972255590809,135.6310924766357,21.186949236682665,64.69257919914989,7,2,HeMS + HG,0.0,0.0,
