tstart dt tend dta dtb Ka Kb Ma Mb Mca Mcb binary Ra Rb RFa RFb Rla Rlb La Lb Ta Tb a per e wa wb worb wps wbreaka wbreakb Va Vb mt ce sn mttype aspina aspinb other
0.810597478 0.0325638 0.843161 0.0325759 0.0330628 1 1 136.382728 124.836596 0.000 0.000 1 20.094064 18.990740 20.094064 18.990740 98.7706 94.8465 2.40987e+06 2.07824e+06 50711.3 50711.3 798.339 232951 0.680000 2.55747e+08 2.87212e+08 1.41863e+07 1.01577e+08 2.56699e+09 2.67303e+09 113.338 120.293534 0 0 0 0 -1.000000000000 -1.000000000000 0
0.843161241 0.0325759 0.875737 0.0325883 0.0330754 1 1 136.055642 124.571114 0.000 0.000 1 20.211741 19.099309 20.211741 19.099309 98.9868 95.0658 2.41678e+06 2.08467e+06 50599.7 50599.7 800.135 234003 0.680000 2.48104e+08 2.79304e+08 1.41225e+07 1.01121e+08 2.54155e+09 2.64745e+09 110.595 117.650438 0 0 0 0 -1.000000000000 -1.000000000000 0
0.875737180 0.0325883 0.908325 0.0326009 0.0330881 1 1 135.725329 124.302977 0.000 0.000 1 20.333000 19.211012 20.333000 19.211012 99.206 95.2882 2.42383e+06 2.09121e+06 50485.3 50485.3 801.956 235072 0.680000 2.40567e+08 2.7149e+08 1.40582e+07 1.00661e+08 2.51579e+09 2.62157e+09 107.879 115.027789 0 0 0 0 -1.000000000000 -1.000000000000 0
0.908325489 0.0326009 0.940926 0.0326136 0.033101 1 1 135.391709 124.032121 0.000 0.000 1 20.457998 19.325986 20.457998 19.325986 99.4284 95.5138 2.431e+06 2.09787e+06 50368.1 50368.1 803.804 236160 0.680000 2.33136e+08 2.6377e+08 1.39935e+07 1.00197e+08 2.4897e+09 2.59538e+09 105.189 112.425679 0 0 0 0 -1.000000000000 -1.000000000000 0
0.940926364 0.0326136 0.973540 0.0326266 0.0331142 1 1 135.054700 123.758142 0.000 0.000 1 20.586898 19.444337 20.586898 19.444337 99.6541 95.7428 2.4383e+06 2.10462e+06 50247.8 50247.8 805.679 237266 0.680000 2.25812e+08 2.56145e+08 1.39282e+07 9.973e+07 2.46329e+09 2.56888e+09 102.526 109.844059 0 0 0 0 -1.000000000000 -1.000000000000 0
0.973540011 0.0326266 1.006167 0.0326398 0.0331276 1 1 134.714219 123.480586 0.000 0.000 1 20.719864 19.566171 20.719864 19.566171 99.8833 95.9754 2.44572e+06 2.11147e+06 50124.4 50124.4 807.583 238393 0.680000 2.18595e+08 2.4861e+08 1.38624e+07 9.92587e+07 2.43654e+09 2.54207e+09 99.8909 107.280916 0 0 0 0 -1.000000000000 -1.000000000000 0
1.006166640 0.0326398 1.038806 0.0326533 0.0331413 1 1 134.370183 123.199367 0.000 0.000 1 20.857068 19.691629 20.857068 19.691629 100.116 96.2116 2.45327e+06 2.11839e+06 49997.7 49997.7 809.518 239541 0.680000 2.11488e+08 2.41162e+08 1.3796e+07 9.87832e+07 2.40945e+09 2.51494e+09 97.2829 104.734375 0 0 0 0 -1.000000000000 -1.000000000000 0
1.038806468 0.0326533 1.071460 0.0326669 0.0331552 1 1 134.022488 122.914397 0.000 0.000 1 20.998681 19.820856 20.998681 19.820856 100.353 96.4516 2.46092e+06 2.12539e+06 49867.7 49867.7 811.486 240710 0.680000 2.0449e+08 2.33804e+08 1.3729e+07 9.83032e+07 2.38203e+09 2.48751e+09 94.7026 102.204885 0 0 0 0 -1.000000000000 -1.000000000000 0
1.071459719 0.0326669 1.104127 0.0326808 0.0331694 1 1 133.669996 122.625589 0.000 0.000 1 21.144780 19.954003 21.144780 19.954003 100.595 96.6956 2.46865e+06 2.13247e+06 49734.1 49734.1 813.486 241903 0.680000 1.97603e+08 2.26536e+08 1.36613e+07 9.78185e+07 2.35428e+09 2.45975e+09 92.1497 99.692939 0 0 0 0 -1.000000000000 -1.000000000000 0
1.104126623 0.0326808 1.136807 0.0326951 0.0331839 1 1 133.312592 122.332853 0.000 0.000 1 21.295541 20.091221 21.295541 20.091221 100.84 96.9441 2.47646e+06 2.13962e+06 49596.8 49596.8 815.524 243121 0.680000 1.90817e+08 2.1936e+08 1.35928e+07 9.73283e+07 2.32621e+09 2.43169e+09 89.6199 97.199076 0 0 0 0 -1.000000000000 -1.000000000000 0
1.136807461 0.0326951 1.169503 0.0327096 0.0331986 1 1 132.950160 122.036099 0.000 0.000 1 21.451148 20.232670 21.451148 20.232670 101.09 97.1975 2.48432e+06 2.14684e+06 49455.8 49455.8 817.601 244366 0.680000 1.84136e+08 2.1228e+08 1.35236e+07 9.68327e+07 2.29781e+09 2.40332e+09 87.1136 94.723872 0 0 0 0 -1.000000000000 -1.000000000000 0
1.169502521 0.0327096 1.202212 0.0327244 0.0332137 1 1 132.582584 121.735237 0.000 0.000 1 21.611789 20.378510 21.611789 20.378510 101.345 97.4557 2.49225e+06 2.15412e+06 49310.9 49310.9 819.717 245637 0.680000 1.7756e+08 2.05296e+08 1.34536e+07 9.63314e+07 2.2691e+09 2.37463e+09 84.6318 92.267945 0 0 0 0 -1.000000000000 -1.000000000000 0
1.202212103 0.0327244 1.234937 0.0327396 0.0332291 1 1 132.209750 121.430176 0.000 0.000 1 21.777657 20.528910 21.777657 20.528910 101.605 97.719 2.50024e+06 2.16145e+06 49162.1 49162.1 821.875 246937 0.680000 1.71092e+08 1.98412e+08 1.33828e+07 9.58244e+07 2.24007e+09 2.34564e+09 82.1749 89.831947 0 0 0 0 -1.000000000000 -1.000000000000 0
1.234936514 0.0327396 1.267676 0.032755 0.0332448 1 1 131.831541 121.120825 0.000 0.000 1 21.948956 20.684042 21.948956 20.684042 101.87 97.9874 2.50826e+06 2.16885e+06 49009.1 49009.1 824.074 248266 0.680000 1.64735e+08 1.91629e+08 1.33112e+07 9.53115e+07 2.21073e+09 2.31634e+09 79.744 87.416567 0 0 0 0 -1.000000000000 -1.000000000000 0
1.267676074 0.032755 1.300431 0.0327709 0.0332608 1 1 131.447842 120.807095 0.000 0.000 1 22.125894 20.844087 22.125894 20.844087 102.14 98.2613 2.51633e+06 2.17629e+06 48852 48852 826.317 249624 0.680000 1.5849e+08 1.84949e+08 1.32387e+07 9.47928e+07 2.18108e+09 2.28675e+09 77.3396 85.022527 0 0 0 0 -1.000000000000 -1.000000000000 0
1.300431110 0.0327709 1.333202 0.032787 0.0332771 1 1 131.058540 120.488894 0.000 0.000 1 22.308689 21.009231 22.308689 21.009231 102.416 98.5406 2.52443e+06 2.18377e+06 48690.5 48690.5 828.605 251014 0.680000 1.52361e+08 1.78377e+08 1.31654e+07 9.4268e+07 2.15114e+09 2.25686e+09 74.9627 82.650577 0 0 0 0 -1.000000000000 -1.000000000000 0
1.333201963 0.032787 1.365989 0.0328035 0.0332938 1 1 130.663523 120.166133 0.000 0.000 1 22.497567 21.179667 22.497567 21.179667 102.696 98.8257 2.53255e+06 2.19129e+06 48524.7 48524.7 830.939 252435 0.680000 1.46348e+08 1.71912e+08 1.30913e+07 9.37371e+07 2.1209e+09 2.22668e+09 72.6141 80.301494 0 0 0 0 -1.000000000000 -1.000000000000 0
1.365988983 0.0328035 1.398793 0.0328205 0.0333108 1 1 130.262679 119.838725 0.000 0.000 1 22.692768 21.355598 22.692768 21.355598 102.983 99.1166 2.5407e+06 2.19885e+06 48354.3 48354.3 833.32 253890 0.680000 1.40455e+08 1.65559e+08 1.30163e+07 9.32e+07 2.09038e+09 2.19623e+09 70.2946 77.976079 0 0 0 0 -1.000000000000 -1.000000000000 0
1.398792531 0.0328205 1.431613 0.0328377 0.0333283 1 1 129.855902 119.506582 0.000 0.000 1 22.894538 21.537236 22.894538 21.537236 103.275 99.4136 2.54885e+06 2.20643e+06 48179.3 48179.3 835.75 255379 0.680000 1.34683e+08 1.59318e+08 1.29404e+07 9.26566e+07 2.05958e+09 2.1655e+09 68.0052 75.675153 0 0 0 0 -1.000000000000 -1.000000000000 0
1.431612982 0.0328377 1.464451 0.0328554 0.0333461 1 1 129.443084 119.169618 0.000 0.000 1 23.103141 21.724803 23.103141 21.724803 103.573 99.7167 2.557e+06 2.21404e+06 47999.6 47999.6 838.23 256903 0.680000 1.29034e+08 1.53193e+08 1.28636e+07 9.21069e+07 2.02852e+09 2.1345e+09 65.7467 73.399554 0 0 0 0 -1.000000000000 -1.000000000000 0
1.464450719 0.0328554 1.497306 0.0328735 0.0333642 1 1 129.024125 118.827750 0.000 0.000 1 23.318854 21.918533 23.318854 21.918533 103.878 100.026 2.56515e+06 2.22166e+06 47815.1 47815.1 840.762 258464 0.680000 1.23511e+08 1.47186e+08 1.27859e+07 9.15508e+07 1.9972e+09 2.10324e+09 63.52 71.150134 0 0 0 0 -1.000000000000 -1.000000000000 0
1.497306139 0.0328735 1.530180 0.032892 0.0333828 1 1 128.598926 118.480897 0.000 0.000 1 23.541969 22.118673 23.541969 22.118673 104.189 100.342 2.57328e+06 2.2293e+06 47625.7 47625.7 843.347 260062 0.680000 1.18115e+08 1.41298e+08 1.27074e+07 9.09882e+07 1.96563e+09 2.07172e+09 61.326 68.927755 0 0 0 0 -1.000000000000 -1.000000000000 0
1.530179652 0.032892 1.563072 0.032911 0.0334018 1 1 128.167394 118.128980 0.000 0.000 1 23.772796 22.325483 23.772796 22.325483 104.506 100.665 2.58139e+06 2.23694e+06 47431.2 47431.2 845.986 261699 0.680000 1.12847e+08 1.35533e+08 1.26279e+07 9.0419e+07 1.93381e+09 2.03997e+09 59.1656 66.733285 0 0 0 0 -1.000000000000 -1.000000000000 0
1.563071680 0.0164555 1.579527 0.0329207 0.0334115 1 1 127.948418 117.950453 0.000 0.000 1 23.891104 22.431393 23.891104 22.431393 104.83 100.995 2.58541e+06 2.24074e+06 47332 47332 848.682 263163 0.680000 1.0771e+08 1.2989e+08 1.25576e+07 8.9916e+07 1.91783e+09 2.02401e+09 56.7533 64.258648 0 0 0 0 -1.000000000000 -1.000000000000 0
1.579527168 0.0164603 1.595987 0.0329304 0.0334213 1 1 127.727825 117.770630 0.000 0.000 1 24.011464 22.539075 24.011464 22.539075 104.994 101.163 2.58942e+06 2.24454e+06 47231.5 47231.5 850.055 264017 0.680000 1.05206e+08 1.2713e+08 1.2517e+07 8.96251e+07 1.90178e+09 2.00799e+09 55.713 63.195151 0 0 0 0 -1.000000000000 -1.000000000000 0
1.595987495 0.0164652 1.612453 0.0329404 0.0334312 1 1 127.505604 117.589503 0.000 0.000 1 24.133920 22.648565 24.133920 22.648565 105.161 101.333 2.59342e+06 2.24834e+06 47129.7 47129.7 851.442 264882 0.680000 1.02734e+08 1.24402e+08 1.24762e+07 8.93327e+07 1.88568e+09 1.99191e+09 54.6816 62.139147 0 0 0 0 -1.000000000000 -1.000000000000 0
1.612452717 0.0164702 1.628923 0.0329504 0.0334412 1 1 127.281746 117.407063 0.000 0.000 1 24.258521 22.759902 24.258521 22.759902 105.329 101.504 2.5974e+06 2.25213e+06 47026.6 47026.6 852.845 265757 0.680000 1.00296e+08 1.21705e+08 1.24351e+07 8.90385e+07 1.86953e+09 1.97578e+09 53.6592 61.090745 0 0 0 0 -1.000000000000 -1.000000000000 0
1.628922893 0.0164752 1.645398 0.0329605 0.0334514 1 1 127.056243 117.223303 0.000 0.000 1 24.385312 22.873126 24.385312 22.873126 105.5 101.678 2.60138e+06 2.25593e+06 46922.1 46922.1 854.262 266642 0.680000 9.789e+07 1.19039e+08 1.23938e+07 8.87427e+07 1.85333e+09 1.95959e+09 52.6459 60.050047 0 0 0 0 -1.000000000000 -1.000000000000 0
1.645398080 0.0164803 1.661878 0.0329708 0.0334616 1 1 126.829086 117.038214 0.000 0.000 1 24.514346 22.988280 24.514346 22.988280 105.672 101.853 2.60534e+06 2.25971e+06 46816.2 46816.2 855.694 267539 0.680000 9.55175e+07 1.16406e+08 1.23522e+07 8.84452e+07 1.83707e+09 1.94335e+09 51.6418 59.017159 0 0 0 0 -1.000000000000 -1.000000000000 0
1.661878338 0.0164854 1.678364 0.0329812 0.033472 1 1 126.600269 116.851790 0.000 0.000 1 24.645673 23.105405 24.645673 23.105405 105.845 102.031 2.60928e+06 2.2635e+06 46709 46709 857.142 268447 0.680000 9.31784e+07 1.13804e+08 1.23105e+07 8.81461e+07 1.82076e+09 1.92705e+09 50.647 57.992184 0 0 0 0 -1.000000000000 -1.000000000000 0
1.678363727 0.0164906 1.694854 0.0329917 0.0334825 1 1 126.369782 116.664024 0.000 0.000 1 24.779347 23.224546 24.779347 23.224546 106.021 102.21 2.61322e+06 2.26728e+06 46600.4 46600.4 858.605 269366 0.680000 9.08727e+07 1.11235e+08 1.22684e+07 8.78453e+07 1.8044e+09 1.91071e+09 49.6616 56.975224 0 0 0 0 -1.000000000000 -1.000000000000 0
1.694854309 0.0164958 1.711350 0.0330023 0.033493 1 1 126.137621 116.474908 0.000 0.000 1 24.915426 23.345750 24.915426 23.345750 106.199 102.391 2.61713e+06 2.27105e+06 46490.3 46490.3 860.084 270297 0.680000 8.86004e+07 1.08698e+08 1.22262e+07 8.75429e+07 1.78799e+09 1.89431e+09 48.6858 55.966382 0 0 0 0 -1.000000000000 -1.000000000000 0
1.711350145 0.0165012 1.727851 0.0330131 0.0335038 1 1 125.903779 116.284438 0.000 0.000 1 25.053967 23.469064 25.053967 23.469064 106.378 102.574 2.62103e+06 2.27481e+06 46378.9 46378.9 861.579 271239 0.680000 8.63617e+07 1.06194e+08 1.21837e+07 8.72388e+07 1.77154e+09 1.87786e+09 47.7195 54.965757 0 0 0 0 -1.000000000000 -1.000000000000 0
1.727851298 0.0165065 1.744358 0.033024 0.0335146 1 1 125.668251 116.092607 0.000 0.000 1 25.195030 23.594538 25.195030 23.594538 106.559 102.759 2.62491e+06 2.27857e+06 46266 46266 863.09 272193 0.680000 8.41567e+07 1.03722e+08 1.2141e+07 8.6933e+07 1.75504e+09 1.86136e+09 46.7629 53.973449 0 0 0 0 -1.000000000000 -1.000000000000 0
1.744357832 0.016512 1.760870 0.033035 0.0335256 1 1 125.431033 115.899410 0.000 0.000 1 25.338681 23.722225 25.338681 23.722225 106.742 102.946 2.62877e+06 2.28231e+06 46151.6 46151.6 864.617 273159 0.680000 8.19853e+07 1.01283e+08 1.20981e+07 8.66256e+07 1.73849e+09 1.84482e+09 45.8161 52.989554 0 0 0 0 -1.000000000000 -1.000000000000 0
1.760869810 0.0165175 1.777387 0.0330461 0.0335366 1 1 125.192121 115.704843 0.000 0.000 1 25.484983 23.852178 25.484983 23.852178 106.928 103.135 2.63261e+06 2.28605e+06 46035.7 46035.7 866.16 274137 0.680000 7.98477e+07 9.88771e+07 1.20549e+07 8.63165e+07 1.7219e+09 1.82823e+09 44.8792 52.014170 0 0 0 0 -1.000000000000 -1.000000000000 0
1.777387298 0.0165231 1.793910 0.0330574 0.0335479 1 1 124.951511 115.508900 0.000 0.000 1 25.634008 23.984453 25.634008 23.984453 107.115 103.326 2.63642e+06 2.28978e+06 45918.3 45918.3 867.72 275127 0.680000 7.77439e+07 9.65041e+07 1.20115e+07 8.60058e+07 1.70527e+09 1.81159e+09 43.9522 51.047390 0 0 0 0 -1.000000000000 -1.000000000000 0
1.793910362 0.0165287 1.810439 0.0330688 0.0335592 1 1 124.709203 115.311580 0.000 0.000 1 25.785826 24.119109 25.785826 24.119109 107.304 103.52 2.64022e+06 2.2935e+06 45799.4 45799.4 869.297 276130 0.680000 7.56738e+07 9.41642e+07 1.19679e+07 8.56935e+07 1.68859e+09 1.7949e+09 43.0353 50.089308 0 0 0 0 -1.000000000000 -1.000000000000 0
1.810439069 0.0165344 1.826973 0.0330804 0.0335707 1 1 124.465194 115.112877 0.000 0.000 1 25.940513 24.256207 25.940513 24.256207 107.495 103.715 2.64399e+06 2.29721e+06 45679 45679 870.891 277146 0.680000 7.36375e+07 9.18574e+07 1.19241e+07 8.53795e+07 1.67187e+09 1.77817e+09 42.1285 49.140015 0 0 0 0 -1.000000000000 -1.000000000000 0
1.826973486 0.0165402 1.843514 0.0330921 0.0335823 1 1 124.219484 114.912791 0.000 0.000 1 26.098148 24.395811 26.098148 24.395811 107.688 103.912 2.64774e+06 2.3009e+06 45556.9 45556.9 872.501 278174 0.680000 7.1635e+07 8.95839e+07 1.188e+07 8.5064e+07 1.65511e+09 1.7614e+09 41.2318 48.199599 0 0 0 0 -1.000000000000 -1.000000000000 0
1.843513682 0.016546 1.860060 0.0331039 0.033594 1 1 123.972075 114.711319 0.000 0.000 1 26.258813 24.537987 26.258813 24.537987 107.883 104.112 2.65146e+06 2.30458e+06 45433.3 45433.3 874.129 279215 0.680000 6.96662e+07 8.73437e+07 1.18357e+07 8.47468e+07 1.63831e+09 1.74458e+09 40.3455 47.268149 0 0 0 0 -1.000000000000 -1.000000000000 0
